Rank,Name,Team,ByeWeek,Position,PositionRank,AverageDraftPositionPPR
491,Ronnie Bell,SF,9,WR,WR176,537
492,Dennis Houston,NYG,11,WR,WR177,538
493,Robert Tonyan,MIN,6,TE,TE73,539
494,Teagan Quitoriano,HOU,14,TE,TE74,540
496,Cole Fotheringham,LV,10,TE,TE75,543
497,Rashaad Penny,CAR,11,RB,RB126,544
498,Jha'Quan Jackson,TEN,5,WR,WR178,545
499,Deonte Harty,BAL,14,WR,WR179,546
500,Mike White,MIA,6,QB,QB63,547
501,Devin Duvernay,JAX,12,WR,WR180,548
502,Jody Fortson,MIA,6,TE,TE76,549
503,Durham Smythe,MIA,6,TE,TE77,550
504,Joe Milton,NE,14,QB,QB64,551
505,Blake Watson,DEN,14,RB,RB127,552
506,Zonovan Knight,DET,5,RB,RB128,553
507,Hassan Haskins,TEN,5,RB,RB129,554
508,Marcus Mariota,WAS,14,QB,QB65,556
509,Jordan Akins,CLE,10,TE,TE78,557
510,Tanner Conner,MIA,6,TE,TE79,558
511,Payne Durham,TB,11,TE,TE80,559
512,Deneric Prince,KC,6,RB,RB130,561
513,Trent Sherfield,MIN,6,WR,WR181,562
514,Kevin Harris,NE,14,RB,RB131,566
515,Tampa Bay Buccaneers,TB,11,DST,DST22,567
516,Skylar Thompson,MIA,6,QB,QB66,568
517,Xavier Hutchinson,HOU,14,WR,WR182,570
518,Lucas Krull,DEN,14,TE,TE81,572
519,Malik Cunningham,BAL,14,WR,WR183,574
520,Detroit Lions,DET,5,DST,DST23,575
521,Jordan Matthews,CAR,11,TE,TE82,576
522,Josh Whyle,TEN,5,TE,TE83,577
523,Kendric Pryor,CIN,12,WR,WR184,578
524,Jacksonville Jaguars,JAX,12,DST,DST24,579
525,Malik Davis,DAL,7,RB,RB132,580
526,Desmond Ridder,ARI,11,QB,QB67,581
527,Jalen Brooks,DAL,7,WR,WR185,582
528,Seattle Seahawks,SEA,10,DST,DST25,583
529,Los Angeles Chargers,LAC,5,DST,DST26,585
530,La'Mical Perine,PIT,9,RB,RB133,587
